Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,49.150002,54.119999,48.880001,53.439999,32.617302,76800
2007-06-01,53.740002,53.790001,49.470001,50.400002,30.761831,79300
2007-07-01,50.400002,50.400002,44.290001,44.520000,27.342754,29300
2007-08-01,44.060001,47.150002,43.070000,45.500000,27.944649,150000
2007-09-01,46.759998,48.230000,45.060001,47.740002,29.320375,28100
2007-10-01,47.910000,50.020000,44.290001,47.060001,29.173117,104900
2007-11-01,46.200001,46.380001,38.630001,41.320000,25.614819,58000
2007-12-01,40.709999,43.330002,37.860001,38.340000,23.767483,105200
2008-01-01,38.029999,40.919998,34.299999,40.180000,25.538866,101800
2008-02-01,40.250000,42.689999,38.730000,40.270000,25.596069,490900
2008-03-01,40.119999,45.000000,36.000000,42.279999,26.873646,235800
2008-04-01,42.779999,44.869999,41.650002,43.660000,28.095329,76300
2008-05-01,44.029999,44.830002,42.430000,43.330002,27.882973,198900
2008-06-01,42.639999,44.419998,38.090000,38.450001,24.742672,155800
2008-07-01,37.810001,44.410000,36.900002,42.500000,27.699167,239700
2008-08-01,42.709999,45.750000,39.799999,42.509998,27.705673,334500
2008-09-01,43.110001,47.090000,38.900002,41.980000,27.360258,1140700
2008-10-01,42.770000,55.840000,11.340000,30.840000,20.395399,1179900
2008-11-01,30.830000,30.959999,18.110001,26.510000,17.531847,1146700
2008-12-01,25.650000,30.170000,21.740000,26.930000,17.809607,491900
2009-01-01,26.520000,26.620001,21.879999,23.070000,15.704182,8090000
2009-02-01,22.570000,23.459999,17.379999,17.549999,11.946612,3630700
2009-03-01,16.820000,20.180000,15.170000,18.180000,12.375466,2041500
2009-04-01,17.750000,23.090000,17.690001,21.830000,15.106559,4509200
2009-05-01,21.450001,23.110001,20.459999,22.920000,15.860853,2028100
2009-06-01,23.360001,24.350000,20.930000,21.930000,15.175758,891100
2009-07-01,22.049999,24.629999,20.219999,24.240000,17.014397,413200
2009-08-01,24.440001,28.360001,24.309999,26.889999,18.874460,688600
2009-09-01,26.670000,30.080000,25.090000,28.290001,19.857145,466700
2009-10-01,28.129999,28.940001,26.610001,27.700001,19.633537,739400
2009-11-01,27.559999,29.889999,26.940001,29.430000,20.859755,375700
2009-12-01,29.209999,32.139999,29.209999,30.940001,21.930031,241100
2010-01-01,31.070000,31.309999,29.070000,29.469999,21.082727,200100
2010-02-01,29.629999,31.110001,28.250000,30.870001,22.084280,239000
2010-03-01,31.000000,34.200001,31.000000,33.240002,23.779774,191100
2010-04-01,33.340000,37.090000,32.959999,36.070000,26.058945,243400
2010-05-01,36.470001,37.410000,32.130001,35.299999,25.502665,411800
2010-06-01,34.799999,36.580002,31.990000,33.419998,24.144445,680400
2010-07-01,33.270000,37.500000,31.990000,36.570000,26.612904,418800
2010-08-01,37.169998,37.750000,35.000000,36.619999,26.649288,497100
2010-09-01,37.160000,39.500000,36.869999,37.380001,27.202356,665300
2010-10-01,37.610001,40.090000,37.020000,38.849998,28.501202,458200
2010-11-01,39.040001,40.759998,36.770000,37.950001,27.840942,358300
2010-12-01,38.119999,39.700001,37.520000,39.389999,28.897352,439700
