Alternatives ETF List (35),Broad Asia ETF List (44),Commodity ETF List (125),Consumer Discretionary Equity ETF List (31),Consumer Staples Equity ETF List (26),Crude Oil ETF List (22),Currency ETF List (36),Developed Asia Pacific ETF List (108),Developed Markets ETF List 1 (100),Developed Markets ETF List 2 (100),Developed Markets ETF List 3 (93),Emerging Asia Pacific ETF List (114),Emerging Markets ETF List (79),Energy Equity ETF List (80),Financials Equity ETF List (51),Global ETF List (72),Gold ETF List (17),Healthcare Equity ETF List (49),Industrials Equity ETF List (37),Investment Grade Corporate ETF List (50),Junk ETF List (43),Materials Equity ETF List (62),Municipal Bond ETF List (29),Preferred Stock ETF List (12),Real Estate ETF List (48),Target Maturity Date Corporate Bond ETF List (24),Technology Equity ETF List (75),Telecom Equity ETF List (10),Total Bond Market ETF List (82),Treasuries ETF List (51),Utilities Equity ETF List (24),Volatility ETF List (18)
-0.006255990662365121,-0.060737981482440126,0.028861950551976757,-0.05519127023150927,-0.04765361358743453,-0.0027172485706513554,-0.012674729653768656,-0.045498980987030424,-0.039183783908823676,-0.013090347269388425,-0.026024292402887984,-0.07516258903149445,0.009247637036794126,0.039470811676644,-0.05308910259081066,0.00403858065042689,-0.01499098967908329,0.053471812443024555,-0.029138383261252815,0.0174067092984226,-0.0017953832090911895,0.05364386567387698,0.028299805915063286,0.04637688516400928,0.03004048177224084,0.029735330811867345,-0.022944643218085946,-0.00584644886537754,0.026793936268700996,-0.011839075053150138,0.028192907422115665,0.10487335817525098
0.00819403450308878,0.04862079056270937,0.006686860201997724,0.06637932365766644,0.03889373436751829,-0.026129644135903907,0.012925952595153875,0.05454230003397296,0.058968896755070846,0.03818887950118867,0.041034289103903984,0.02368371951457072,-0.007591564261600387,0.008791740080112742,0.014070923268851735,0.08046644934756901,-0.022159084025194745,0.06663115387941468,0.05904770019054069,0.006350414250624747,0.011446681492870595,0.09291818461413617,0.0066655917550075775,0.02060375381998611,0.049039856611279305,0.00774168307675562,0.046122299223531206,0.011242868651846883,0.003333350482622553,-0.0018683775750582324,0.04302066816449919,-0.09430002839301257
0.003105942469881224,0.005520133788522787,-0.02313444791022518,-0.027083167778102834,0.02389922396891802,0.005720850425393767,0.012209574029507328,-0.0030428057856549547,0.005157416104465162,-0.0018521855793258112,-0.004424061483082274,0.11252136934273187,-0.0026035940636121926,0.014715347039878654,0.0009061966970961621,-0.022029637154402117,0.009595914321082092,-0.04797340420914773,0.0014776004042928246,0.0035781537380456863,0.0038141929578968995,-0.07045371275481874,0.0024825104625507337,0.016983509179177243,-0.0004946906464843588,0.002462806190798708,0.001760777746596587,0.03152788392372309,0.003039426617655943,0.0021468879311785792,0.03724656914207372,-0.026062616128998035
0.007032744974136904,0.01628958273548313,0.04633470221434323,-0.014605550627299716,0.020055237465658383,0.0011119470023087273,-0.0020455117970214253,0.008421785723092825,0.016995629287588417,0.0012034931044164038,0.01870361039654698,-0.012376782475544672,0.0007128067530552059,0.04441517733213288,0.006131302567539636,0.012568264605584639,-0.003978109652759984,-0.03660170013364892,0.00200617783178174,0.011033008637387159,0.002993878516793983,-0.013993533964589144,0.011820246583003517,0.01959373386793444,0.03969421309227525,0.013616204756700454,-0.0023569854679345525,-0.012492653044040014,0.011256365074130966,-0.0009106644559913503,0.045796129595209,-0.042290953269706624
-0.00022355396667917104,0.03223954656989208,-0.04533977989061758,0.025535976522577792,0.01581797403231005,-0.01625612743781101,-0.008007149152891182,0.024617789439114968,0.01989398762054622,0.011293374792648744,0.018469103826827427,0.136896407647871,-0.0038348381943533764,-0.020567024143728223,-0.001011356869399732,0.002947314103919895,0.010672168144340768,0.05079528817874533,0.012580820576500243,0.0076258724354925115,0.002479140800911447,-0.027716185462192695,0.010381208778491394,0.012939853230960854,0.027769797974002176,0.018185132061133147,0.03420183856609761,0.03602068133909435,0.009492880654956654,-0.007962793820413488,0.00019651747666313973,-0.11006227968805642
0.008723038254572376,0.0040979841261016645,-0.015256608593687817,0.01892558613808224,-0.002485523605807882,-0.012464705613939874,0.0029423761427270377,0.011368231512145508,0.0036432709480101245,-0.006120274784273147,0.01253622942635894,0.059198454740617315,0.001010508285018878,0.01804718217472127,0.011907660187392855,0.06183575063253536,-0.021124845664191753,0.058127418278024603,0.01013047825273978,0.0008302470240754377,0.009154326366356734,0.1610105565156305,-0.0007184968659261359,0.005193904632480125,0.0028712387598305356,0.004068540026870546,0.023890923814962446,0.010202042296129834,-0.0002588709657837773,-0.0007083618379989142,0.041640544213927336,-0.0944527596861796
-0.012730997454192105,0.029889025848629246,-0.01353420650413158,-0.014920641434731948,-0.035180701286914993,0.02877636745368627,-0.01144846467578397,-0.003658453707634096,-0.02078919440122648,-0.006991241784507943,-0.0074971510039523875,0.015171085191517428,0.005470605337359993,-0.08819659301252385,-0.03464307814898963,19.946173357441964,0.012145872421260437,-0.02862834745315393,-0.04455459872209152,0.0002544280239259117,-0.01165983224461536,-0.028078314255159532,0.003418118920124444,-0.004730299343800137,0.006481012661716802,0.0013388008661888505,0.011663336004083997,0.0010696665925849231,-0.003366123851953008,7.875256468477262e-05,-0.05809865803234447,0.06638801918417211
0.005711396174496482,0.017600184207804216,0.018235729672142313,0.03949276316812182,0.048832459245908774,0.009168640454789488,-0.00213321157057061,-0.004305196425317952,0.019198939977156517,0.009853097687364374,-0.011306944867050658,0.03192330306378667,0.008799350918876497,0.012876811809579536,0.04113515149813744,0.024347820595562224,-0.00222920444962118,0.07300638098176582,0.03746322915066115,0.013527679470919419,0.0033481429220752505,-0.007930465150654807,0.011223798487781184,0.019842203956331992,0.02328499552642609,0.014178041714854636,0.037791374129659154,0.011847331127250945,0.01436712797509621,-0.007010698358033964,0.05285739028510722,-0.08534939264166916
-0.0011151522651744266,-0.0609486437018447,-0.005039093490849347,-0.03190879867841988,-0.003973498741591113,0.0076291021720219275,-0.021874106775106948,-0.04299912559580814,-0.04265657332348521,-0.023735474937244767,-0.0814356160187399,-0.0197347940603439,-0.0027669673738846432,-0.07224868974676436,-0.019454535084744953,-0.08087937499888179,0.03024188857557984,-0.01589169026621974,-0.03955881818792837,-0.011556641206523633,-0.020847772422395827,-0.019652219666100316,0.0012033808360115803,-0.012993350291356695,-0.06518542107869095,-0.0065582926903982545,-0.01665580826199125,-0.025835923138903604,-0.005849001404103195,0.00548366851645819,-0.038271655204019046,0.0627310283885657
-0.0016469921330583119,0.01806524897613731,0.010723281926190459,0.024859372627913358,0.038745631422336446,0.045400323955594284,-0.002851690116097815,0.0060294919512246204,0.003579156222968269,0.00674087773539952,-0.011220538953622499,0.04583633530330065,-0.006985357350995628,-0.10022593832036078,0.023980643770405374,-0.051697582564303325,0.009530181147985126,0.09302052933344604,0.018099340178639577,0.008857508963274308,-0.00023318927538956008,-0.08895962169170987,0.0049378707928881506,0.01531829228089526,0.09870949807262759,0.012277212629950069,0.014902154204302447,0.025743615667309483,0.008017088642817746,0.0006178919506413165,0.08055755722432674,-0.08115054632650623
