Date,Open,High,Low,Close,Adj Close,Volume
2005-03-01,null,null,null,null,null,null
2005-04-01,36.820000,37.070000,34.349998,34.980000,31.053505,2345433600
2005-05-01,35.099998,38.270000,34.889999,38.080002,33.805542,1881340000
2005-06-01,38.029999,38.680000,36.700001,36.779999,32.651455,1943627500
2005-07-01,36.860001,39.919998,36.549999,39.580002,35.169643,1620613000
2005-08-01,39.639999,40.139999,38.259998,38.980000,34.636505,1714890300
2005-09-01,39.000000,39.910000,38.240002,39.459999,35.063026,1676662500
2005-10-01,39.540001,39.880001,37.330002,38.869999,34.538776,2279169700
2005-11-01,38.779999,42.020000,38.709999,41.240002,36.644680,1718491700
2005-12-01,41.509998,42.310001,40.360001,40.410000,35.907154,1416706400
2006-01-01,40.650002,43.310001,40.160000,42.000000,37.410007,1968905800
2006-02-01,41.740002,42.169998,40.259998,41.099998,36.608368,1646562100
2006-03-01,41.230000,42.299999,40.189999,41.930000,37.347660,2185862300
2006-04-01,42.150002,43.049999,41.389999,41.849998,37.302559,1763904700
2006-05-01,41.919998,42.279999,38.230000,38.820000,34.601803,2709535300
2006-06-01,38.930000,40.000000,37.160000,38.770000,34.557243,3052135000
2006-07-01,38.889999,39.000000,35.540001,37.099998,33.090950,2462886000
2006-08-01,36.770000,39.029999,36.259998,38.869999,34.669678,2281929100
2006-09-01,39.080002,40.950001,38.320000,40.650002,36.257347,2234461000
2006-10-01,40.599998,42.919998,39.880001,42.580002,38.000648,2410484000
2006-11-01,42.730000,44.860001,41.610001,44.040001,39.303619,2370363000
2006-12-01,44.000000,44.759998,42.880001,43.160000,38.518269,1898275500
2007-01-01,43.459999,45.400002,42.520000,44.070000,39.378323,2620557700
2007-02-01,44.270000,45.549999,42.930000,43.330002,38.717110,2394303300
2007-03-01,42.549999,44.450001,42.060001,43.529999,38.895794,2886831700
2007-04-01,43.669998,46.700001,43.299999,45.959999,41.092976,1840448700
2007-05-01,45.970001,47.520000,45.660000,47.410000,42.389423,2575501900
2007-06-01,47.580002,47.919998,46.160000,47.599998,42.559307,2815209900
2007-07-01,47.709999,50.660000,47.430000,47.529999,42.529949,2780452500
2007-08-01,47.389999,49.060001,44.389999,48.869999,43.728985,3835583500
2007-09-01,48.930000,51.680000,47.810001,51.410000,46.001770,1980639900
2007-10-01,51.450001,55.070000,51.340000,55.029999,49.266563,3400285100
2007-11-01,54.680000,54.770000,48.650002,51.310001,45.936184,4567776300
2007-12-01,51.090000,52.840000,49.180000,51.220001,45.855583,2233867700
2008-01-01,51.270000,51.470001,41.610001,45.130001,40.445538,4828694600
2008-02-01,45.500000,45.880001,42.150002,42.950001,38.491817,3020516600
2008-03-01,42.919998,45.070000,41.049999,43.720001,39.181881,3404279700
2008-04-01,44.419998,48.060001,43.680000,47.209999,42.342690,2616810900
2008-05-01,47.230000,50.470001,47.220001,50.009998,44.854012,2682797700
2008-06-01,49.919998,50.610001,44.970001,45.169998,40.513008,3542909100
2008-07-01,44.810001,46.150002,43.299999,45.459999,40.801563,3953264300
2008-08-01,45.509998,48.570000,44.299999,46.119999,41.393929,2893866300
2008-09-01,46.869999,47.080002,37.180000,38.910000,34.922775,5188670400
2008-10-01,38.840000,38.970001,28.090000,32.889999,29.539555,7240779800
2008-11-01,32.810001,34.009998,25.049999,29.120001,26.153591,3919285900
2008-12-01,28.500000,30.830000,26.840000,29.740000,26.710436,2944238700
2009-01-01,29.750000,31.629999,27.959999,29.059999,26.137592,2829542600
2009-02-01,28.780001,31.680000,27.389999,27.530001,24.761457,3324074200
2009-03-01,27.120001,31.459999,25.629999,30.320000,27.270885,3805123800
2009-04-01,29.940001,34.900002,29.790001,34.279999,30.883633,2991632100
2009-05-01,34.270000,35.500000,32.959999,35.380001,31.874660,2734076200
2009-06-01,35.759998,37.230000,34.770000,36.380001,32.775589,2511948000
2009-07-01,36.560001,40.180000,34.299999,39.450001,35.585125,2575607800
2009-08-01,39.869999,41.080002,38.459999,40.029999,36.108303,2248149500
2009-09-01,39.889999,43.169998,39.020000,42.250000,38.110809,2114774900
2009-10-01,42.099998,43.820000,40.720001,40.959999,36.982933,2291065900
2009-11-01,41.000000,44.650002,40.639999,43.560001,39.330498,1807922400
2009-12-01,43.889999,46.299999,43.320000,45.750000,41.307858,1524036700
2010-01-01,46.330002,46.639999,42.630001,42.790001,38.699734,2382152500
2010-02-01,42.900002,45.049999,42.119999,44.759998,40.481419,1932176400
2010-03-01,44.959999,48.599998,44.950001,48.160000,43.556408,1623606900
2010-04-01,48.360001,50.650002,47.790001,49.240002,44.580704,1701457500
2010-05-01,49.450001,50.169998,42.639999,45.599998,41.285145,2952228100
2010-06-01,45.430000,47.680000,42.639999,42.709999,38.668610,2058088600
2010-07-01,42.840000,46.720001,41.770000,45.810001,41.635586,1748673600
2010-08-01,46.389999,47.189999,42.970001,43.459999,39.499722,1483278100
2010-09-01,44.099998,49.840000,44.070000,49.070000,44.598526,1574743200
2010-10-01,49.480000,52.490002,48.200001,52.180000,47.536179,1538354800
2010-11-01,52.369999,54.040001,50.849998,52.090000,47.454197,1564994700
2010-12-01,52.860001,54.959999,52.840000,54.459999,49.613270,1006766900
2011-01-01,54.970001,57.349998,54.919998,56.000000,51.117359,1265608600
2011-02-01,56.419998,59.040001,56.130001,57.770000,52.733032,1101561900
2011-03-01,58.020000,58.369999,53.770000,57.430000,52.422676,1729243300
2011-04-01,57.720001,59.290001,55.320000,59.080002,54.004906,1032891200
